# A multi-node devnet convergence soak: the contention regime's status samples.
#
# The companion to devnet-convergence-samples.tsv, and the harder question. The
# same four zycordd processes on the dev engine behind the same chaos proxy, but
# EVERY miner mines for the whole run rather than all but one being stopped
# before anything is checked. That is the state a live network is actually in,
# and under it tip agreement is neither expected nor required: two branches of
# equal work are entitled to disagree, and do.
#
# What is required is that every node's history BELOW the reorg horizon is a
# prefix of one chain, checked cumulatively throughout rather than once at the
# end, so a divergence that is created and then reorged away is still caught.
#
# The run: 199 kills, 368 partitions over 50 minutes. It ended
#   history: 744 heights verified to 744 (network reached 1000);
#     3.96 nodes per height on average, 33 heights compared across fewer than 4
#   deepest observed reorg: 3 blocks (horizon 256)
#   billing law: 874 certificate inclusions across 1000 blocks, no duplicates
#   load: 2357 certificates submitted, 2357 accepted
#   liveness: no node died unbidden (11960 state samples)
#
# 744 heights verified with no divergence is the result. The 33 partial
# comparisons are heights where a node was mid-kill and could not answer; they
# are reported rather than hidden, because a run that mostly talked to three
# nodes must not read like one that talked to four.
#
# Latency: trail p50=0, p90=0, p99=1, max=3 blocks across 795 node-samples --
# TIGHTER than the single-miner regime's p99=2/max=11, which is not a claim that
# contention is easier. The machine was under load average 6-19 here against
# 8-47 there, and that difference alone plausibly accounts for it. Do not read
# these two regimes against each other; read each against its own conditions.
#
# On memory, read the FLOOR and not the peak. Node a shows a peak of 183 MB at
# t=1830 and was at 45 MB by the next sample fifteen seconds later; it did the
# same at t=2565, 122 MB down to 40 MB. Both are single-sample transients that
# fully reclaim -- a collection caught mid-cycle. The floor per ten-minute window
# was 15.2, 17.1, 12.6, 22.0, 24.2 MB while the chain grew from height 276 to
# 1000, and it FELL in the middle of that. Threads stayed at 12-13 and
# descriptors at 20 throughout. Nothing here grows without bound.
#
# Columns: seconds since sampling began, node, whether its RPC answered, height,
# blocks behind the highest node, resident memory KB, threads, open descriptors,
# data directory KB, first eight bytes of tip. reachable=false with height 0 is
# a node the harness had killed and not yet restarted.
#
# seconds	node	reachable	height	trail	rss_kb	threads	fds	disk_kb	tip
15	a	true	5	0	16196	11	16	22	0x56ca4130e34523
15	b	true	5	0	15452	10	15	22	0x56ca4130e34523
15	c	true	5	0	16128	12	16	20	0x56ca4130e34523
15	d	true	5	0	15228	11	12	20	0x56ca4130e34523
30	a	true	12	1	16940	11	16	41	0x10c772d4fc5a38
30	b	true	12	1	15376	11	15	41	0x10c772d4fc5a38
30	c	true	13	0	17200	12	17	42	0xab529dd50ae216
30	d	true	12	1	15764	11	12	39	0x10c772d4fc5a38
45	a	true	20	0	15776	11	16	65	0xd0efaab3aa3087
45	b	true	20	0	16944	11	15	65	0xd0efaab3aa3087
45	c	true	20	0	17040	12	16	65	0xd0efaab3aa3087
45	d	true	20	0	16688	11	12	63	0xd0efaab3aa3087
60	a	true	26	0	16972	11	16	85	0x0ed551957ab84b
60	b	true	26	0	17456	11	15	83	0x0ed551957ab84b
60	c	true	26	0	17124	12	16	83	0x0ed551957ab84b
60	d	true	26	0	16916	12	12	81	0x0ed551957ab84b
75	a	true	35	1	17000	11	16	128	0x4a9fa1e62aaf17
75	b	true	36	0	17432	11	15	129	0x1bfc1bea989c64
75	c	true	35	1	17752	12	17	124	0x4a9fa1e62aaf17
75	d	true	35	1	17840	12	12	125	0x4a9fa1e62aaf17
90	a	true	41	0	17444	11	17	163	0x5d4351df7d3ab3
90	b	true	41	0	17948	11	14	161	0x5d4351df7d3ab3
90	c	true	41	0	15236	11	14	159	0x5d4351df7d3ab3
90	d	true	41	0	17400	12	11	159	0x5d4351df7d3ab3
105	a	true	47	0	17568	11	16	195	0x2ce87996327308
105	b	true	47	0	17440	11	13	193	0x2ce87996327308
105	c	true	47	0	17240	11	15	191	0x2ce87996327308
105	d	true	47	0	17544	12	12	191	0x2ce87996327308
120	a	true	55	0	17984	11	14	238	0x03eb40686efc78
120	b	true	55	0	17508	11	14	236	0x03eb40686efc78
120	c	true	55	0	16672	11	16	234	0x03eb40686efc78
120	d	true	54	1	17612	12	11	231	0xc26b075f93d1ce
135	a	true	63	0	17480	11	15	277	0xa42a8488220cb0
135	b	true	63	0	15472	11	15	275	0x39a4aa3163d7b3
135	c	true	63	0	17300	11	16	273	0xa42a8488220cb0
135	d	true	63	0	16324	11	12	271	0xa42a8488220cb0
150	a	true	69	0	17836	11	16	314	0x6ca8fff0e6aef3
150	b	true	69	0	17460	11	13	315	0x6ca8fff0e6aef3
150	c	true	69	0	16844	11	14	310	0xbb862f0494b1b4
150	d	true	69	0	17020	11	12	308	0x6ca8fff0e6aef3
165	a	true	77	0	17808	11	16	362	0x23ce51718691a2
165	b	true	77	0	17316	11	18	363	0x23ce51718691a2
